actual,predicted
3200,2472.6810344830055
3300,4449.769067797296
2699,2175.83536585386
3300,2680.094420601106
1625,2942.702746363923
3799,4449.769067797296
3195,2942.702746363923
1795,2942.702746363923
2200,2175.83536585386
3495,2942.702746363923
4000,2942.702746363923
3150,4449.769067797296
2095,2854.0854922285416
3600,2680.094420601106
5000,4449.769067797296
3326,3247.153846154037
3600,2680.094420601106
2800,2680.094420601106
3800,4449.769067797296
2450,2854.0854922285416
3600,2942.702746363923
4300,2942.702746363923
5250,3215.739130434932
3000,3247.153846154037
3740,4449.769067797296
2250,2942.702746363923
2389,2854.0854922285416
2000,4449.769067797296
2200,3247.153846154037
3400,4449.769067797296
4900,4449.769067797296
1000,2472.6810344830055
2650,4449.769067797296
3000,2680.094420601106
2250,2705.2631578948894
2195,2942.702746363923
2995,4449.769067797296
3750,2942.702746363923
3200,2680.094420601106
2200,2854.0854922285416
2913,2854.0854922285416
3680,2942.702746363923
1775,2472.6810344830055
3395,2680.094420601106
3750,4449.769067797296
3895,2472.6810344830055
2850,2942.702746363923
1250,2680.094420601106
6000,4449.769067797296
2284,2942.702746363923
1750,2942.702746363923
2395,3247.153846154037
3995,2942.702746363923
1500,2942.702746363923
2880,3247.153846154037
3152,3247.153846154037
2500,4449.769067797296
4025,2942.702746363923
4395,4449.769067797296
2495,2942.702746363923
1750,2942.702746363923
2375,2472.6810344830055
2653,2854.0854922285416
2100,3247.153846154037
3200,4449.769067797296
2800,2175.83536585386
2295,2942.702746363923
2400,2680.094420601106
1718,2175.83536585386
3000,2942.702746363923
2150,2942.702746363923
3000,2854.0854922285416
1925,2942.702746363923
2250,2854.0854922285416
1999,2942.702746363923
